Tidpunkt;Datum;Tid;Latency;Down;Up;Node
2021-05-11 08:50;2021-05-11;08:50:01;52,1676;1,73009;2,05331;svl4072643b3
2021-05-11 09:00;2021-05-11;09:00:01;50,9846;5,90419;2,06914;svl20a8f3e99
2021-05-11 09:10;2021-05-11;09:10:01;50,7092;5,86578;2,69868;svl20a72e7ea
2021-05-11 09:20;2021-05-11;09:20:01;51,8704;5,30086;2,48849;svl407aae8d3
2021-05-11 09:30;2021-05-11;09:30:01;48,1051;6,72453;3,76674;svl4073449f5
2021-05-11 09:40;2021-05-11;09:40:01;50,836;5,7923;2,70537;svl20ae818e7
2021-05-11 09:50;2021-05-11;09:50:01;53,1252;6,6089;2,62332;svl407d5d747
2021-05-11 10:00;2021-05-11;10:00:01;48,9785;7,45655;2,38793;svl40760aae1
2021-05-11 10:10;2021-05-11;10:10:02;55,5231;3,82765;1,88254;svl4073d8889
2021-05-11 10:20;2021-05-11;10:20:01;50,2446;9,70466;4,57076;svl20ad0d26b
2021-05-11 10:30;2021-05-11;10:30:01;52,9849;2,57386;2,25669;svl20ad56eda
2021-05-11 10:40;2021-05-11;10:40:01;50,9657;5,53117;2,39791;svl407c0c3d0
2021-05-11 10:50;2021-05-11;10:50:01;60,2866;2,4843;2,40432;svl20a61a290
2021-05-11 11:00;2021-05-11;11:00:01;57,6888;4,54754;2,45431;svl20a924281
2021-05-11 11:10;2021-05-11;11:10:01;53,1411;3,46657;2,83613;svl20a9731e5
2021-05-11 11:20;2021-05-11;11:20:01;49,7727;5,49589;2,49777;svl20a4a257e
2021-05-11 11:30;2021-05-11;11:30:01;52,804;4,15375;2,70986;svl20a9db3a1
2021-05-11 11:40;2021-05-11;11:40:01;51,4241;6,34278;2,48382;svl4076136bf
2021-05-11 11:50;2021-05-11;11:50:01;53,6932;3,40643;2,16936;svl20a0e78d8
2021-05-11 12:00;2021-05-11;12:00:01;53,4084;3,97119;2,51553;svl20adf07aa
2021-05-11 12:10;2021-05-11;12:10:01;56,9448;4,18317;2,0137;svl4073c6e95
2021-05-11 12:20;2021-05-11;12:20:01;52,8179;4,56242;1,89139;svl20a196052
2021-05-11 12:30;2021-05-11;12:30:01;50,2816;3,66864;1,5242;svl407cbcd7e
2021-05-11 12:40;2021-05-11;12:40:01;52,1474;2,78901;2,02259;svl20ace1817
2021-05-11 12:50;2021-05-11;12:50:01;51,6972;3,7833;1,7762;svl407f53a0c
2021-05-11 13:00;2021-05-11;13:00:01;62,7007;2,89377;2,38133;svl20ae165ae
2021-05-11 13:10;2021-05-11;13:10:01;54,5488;5,41974;2,22546;svl4075f16d0
2021-05-11 13:20;2021-05-11;13:20:01;55,1166;2,66067;1,67955;svl20aafeeb7
2021-05-11 13:30;2021-05-11;13:30:01;54,531;5,2611;2,65792;svl407d22179
2021-05-11 13:40;2021-05-11;13:40:01;51,7277;5,20336;2,96766;svl20a476067
2021-05-11 13:50;2021-05-11;13:50:01;51,3131;6,33946;2,96731;svl20af14b5a
2021-05-11 14:00;2021-05-11;14:00:01;50,8386;5,46172;2,83317;svl40718e159
2021-05-11 14:10;2021-05-11;14:10:01;56,7959;5,52441;2,52171;svl20ab1da1f
2021-05-11 14:20;2021-05-11;14:20:01;51,445;11,4359;3,76416;svl20abe175a
2021-05-11 14:30;2021-05-11;14:30:02;53,6594;4,24555;2,8682;svl20a265445
2021-05-11 14:40;2021-05-11;14:40:01;54,3601;4,53133;1,95693;svl4078b2565
2021-05-11 14:50;2021-05-11;14:50:01;51,5603;2,84946;2,26476;svl20aede737
2021-05-11 15:00;2021-05-11;15:00:01;49,9878;4,03203;2,75182;svl40722d3b5
2021-05-11 15:10;2021-05-11;15:10:01;52,0038;6,31281;3,04465;svl20a4a5cd1
2021-05-11 15:20;2021-05-11;15:20:01;52,6999;2,36462;2,18056;svl20ae84e53
2021-05-11 15:30;2021-05-11;15:30:02;54,077;2,24679;2,43687;svl407c80ef7
2021-05-11 15:40;2021-05-11;15:40:01;51,5268;3,46769;1,69549;svl20ac43b0c
2021-05-11 15:50;2021-05-11;15:50:01;52,4021;4,12202;2,69511;svl20a9e6591
2021-05-11 16:00;2021-05-11;16:00:01;52,1676;0,862672;1,90831;svl20a9e29a8
2021-05-11 16:10;2021-05-11;16:10:02;52,8066;4,01343;2,8694;svl20ab4a3f2
2021-05-11 16:20;2021-05-11;16:20:01;49,1129;8,12853;3,95606;svl4073d96d7
2021-05-11 16:30;2021-05-11;16:30:01;52,3728;4,2147;2,52938;svl407fdb12a
2021-05-11 16:40;2021-05-11;16:40:01;48,4135;3,38972;2,56377;svl407b7a858
2021-05-11 16:50;2021-05-11;16:50:01;55,7683;2,99954;1,94476;svl4076b4590
2021-05-11 17:00;2021-05-11;17:00:01;49,7206;4,96624;2,65059;svl20aad627d
2021-05-11 17:10;2021-05-11;17:10:01;49,8469;6,79074;3,72704;svl20a0af302
2021-05-11 17:20;2021-05-11;17:20:01;50,7306;5,12861;2,27009;svl20a55b2f1
2021-05-11 17:30;2021-05-11;17:30:01;51,5626;3,31828;2,1394;svl20ac158ae
2021-05-11 17:40;2021-05-11;17:40:01;54,5352;3,40183;1,15145;svl20a1fc709
2021-05-11 17:50;2021-05-11;17:50:01;57,5636;1,12324;1,21587;svl20a479105
